"time_horizon","mean_car","car_95","cvar_95","multiplier","label","regrowth_pct"
148,0.595649215127785,0.693118256505169,0.71487822775825,1,"1.0x baseline",2
149,0.596759549919734,0.694993146603376,0.715801750508361,1,"1.0x baseline",2
150,0.597323191677049,0.694466432631807,0.715533552120042,1,"1.0x baseline",2
151,0.598447681048003,0.695995632353243,0.717162865257747,1,"1.0x baseline",2
152,0.599552445401435,0.695401960017252,0.718018376445546,1,"1.0x baseline",2
153,0.600036487009464,0.695813417207049,0.719826987034391,1,"1.0x baseline",2
154,0.600647849820128,0.698964833655943,0.72125274816614,1,"1.0x baseline",2
155,0.60164279525947,0.698380166088943,0.722998707432728,1,"1.0x baseline",2
156,0.602894687149775,0.70038988906218,0.723814386067768,1,"1.0x baseline",2
157,0.603621585006472,0.70225927329892,0.724297399054919,1,"1.0x baseline",2
158,0.604279078949486,0.702296840502707,0.725247533141666,1,"1.0x baseline",2
159,0.604898594370979,0.702378815218333,0.72655479591681,1,"1.0x baseline",2
160,0.606165652138991,0.703560810121383,0.728677856023748,1,"1.0x baseline",2
161,0.6064508999218,0.704249862009,0.728803766607647,1,"1.0x baseline",2
162,0.607115490620491,0.703833462238396,0.728766278401433,1,"1.0x baseline",2
163,0.607798246833831,0.704056216210531,0.728923791247035,1,"1.0x baseline",2
164,0.608250676974617,0.705939631086592,0.72832884606383,1,"1.0x baseline",2
165,0.609315682919363,0.708347235979447,0.730713595135998,1,"1.0x baseline",2
166,0.610234980581627,0.71034685638921,0.730520588881123,1,"1.0x baseline",2
167,0.610845238638724,0.709443664072615,0.731721049924727,1,"1.0x baseline",2
168,0.611539685035562,0.710153786913139,0.732849592301036,1,"1.0x baseline",2
169,0.611975218823283,0.711638125237871,0.732957282869633,1,"1.0x baseline",2
170,0.61279651330486,0.710471604268821,0.731556671960491,1,"1.0x baseline",2
171,0.613720988534732,0.711964952801252,0.732723152506853,1,"1.0x baseline",2
172,0.614067359778408,0.712553928974111,0.732323337363024,1,"1.0x baseline",2
173,0.614636270714912,0.712999138939971,0.734237066921032,1,"1.0x baseline",2
174,0.615318558234166,0.714521155243947,0.736467574807612,1,"1.0x baseline",2
175,0.615928269158209,0.715369879012308,0.737334040542096,1,"1.0x baseline",2
176,0.616876635569152,0.715997957776653,0.738650247463265,1,"1.0x baseline",2
177,0.617901604682274,0.719272055759639,0.740331791196007,1,"1.0x baseline",2
178,0.618241930803082,0.718147327157307,0.740047987399133,1,"1.0x baseline",2
179,0.618883699756734,0.717605106029031,0.739286435120504,1,"1.0x baseline",2
180,0.619893532885042,0.717799936831837,0.740165531444686,1,"1.0x baseline",2
181,0.620323320170794,0.719658261683574,0.74132398627702,1,"1.0x baseline",2
182,0.621208565124766,0.719521314113335,0.739839360014496,1,"1.0x baseline",2
183,0.621563840404204,0.720216241358184,0.740788042727645,1,"1.0x baseline",2
184,0.621948972000279,0.719082231408567,0.741579193691012,1,"1.0x baseline",2
185,0.622905505034382,0.719945861293615,0.743039716123282,1,"1.0x baseline",2
186,0.623805702971381,0.722453379190048,0.744157759258667,1,"1.0x baseline",2
187,0.624630529037694,0.724657096641145,0.745949551779149,1,"1.0x baseline",2
188,0.625335983598248,0.723118132549558,0.746260793531586,1,"1.0x baseline",2
189,0.625439937696961,0.725614602613932,0.747367700606264,1,"1.0x baseline",2
190,0.626557049460604,0.72599258403686,0.748889113520703,1,"1.0x baseline",2
191,0.626970416238955,0.726388260280289,0.749004752518104,1,"1.0x baseline",2
192,0.627712322049377,0.725818298212266,0.747046896965563,1,"1.0x baseline",2
193,0.628124428362656,0.726855112596059,0.746997768973245,1,"1.0x baseline",2
194,0.628647150221667,0.723823356393938,0.747145518216347,1,"1.0x baseline",2
195,0.629356442502037,0.726250900714272,0.747881494986861,1,"1.0x baseline",2
196,0.629845077072435,0.727526295334734,0.749926975946276,1,"1.0x baseline",2
